DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,ARRIVAL STATUS,previous_flight_status
03/02/2023,Thursday,9E 5009,JFK,1350,1437,1,1
03/02/2023,Thursday,YX 4401,ORD,860,984,0,0
03/02/2023,Thursday,UA 1693,ORD,897,1003,2,0
03/02/2023,Thursday,UA 1998,ORD,1159,1268,0,2
03/02/2023,Thursday,YX 4447,ORD,1240,1360,0,0
03/03/2006,Friday,B6 68,JFK,590,655,1,0
03/03/2006,Friday,B6 72,JFK,920,990,2,1
03/03/2006,Friday,B6 22,JFK,1375,1439,1,2
03/03/2006,Friday,OO 6844,ORD,600,706,2,0
03/03/2006,Friday,OO 5802,ORD,1330,1432,1,2
03/03/2007,Saturday,B6 660,MCO,905,1075,1,0
03/03/2007,Saturday,B6 1042,JFK,420,500,1,0
03/03/2007,Saturday,B6 68,JFK,575,646,1,1
03/03/2007,Saturday,B6 72,JFK,920,990,1,1
03/03/2007,Saturday,B6 22,JFK,1360,1427,1,1
03/03/2007,Saturday,OO 5840,ORD,604,705,1,0
03/03/2007,Saturday,OO 6438,ORD,1035,1148,2,1
03/03/2007,Saturday,OO 6446,ORD,1130,1242,1,2
03/03/2009,Tuesday,B6 668,MCO,776,935,1,0
03/03/2009,Tuesday,B6 664,MCO,1095,1253,1,1
03/03/2009,Tuesday,B6 80,JFK,405,475,1,0
03/03/2009,Tuesday,B6 42,JFK,670,745,1,1
03/03/2009,Tuesday,B6 16,JFK,1020,1112,0,1
03/03/2009,Tuesday,B6 22,JFK,1360,1439,2,0
03/03/2009,Tuesday,OO 5988,ORD,614,720,2,0
03/03/2010,Wednesday,B6 668,MCO,705,865,0,0
03/03/2010,Wednesday,B6 660,MCO,1145,1304,1,0
03/03/2010,Wednesday,B6 22,JFK,-75,5,0,0
03/03/2010,Wednesday,B6 44,JFK,480,564,0,0
03/03/2010,Wednesday,B6 42,JFK,629,707,2,0
03/03/2010,Wednesday,B6 62,JFK,873,961,0,2
03/03/2010,Wednesday,OO 6752,ORD,442,548,1,0
03/03/2011,Thursday,B6 664,MCO,650,809,2,0
03/03/2011,Thursday,B6 660,MCO,1140,1296,1,2
03/03/2011,Thursday,B6 42,JFK,630,696,1,0
03/03/2011,Thursday,B6 62,JFK,1020,1107,1,1
03/03/2011,Thursday,B6 22,JFK,1365,1435,1,1
03/03/2012,Saturday,B6 664,MCO,480,639,0,0
03/03/2012,Saturday,B6 658,MCO,1039,1200,0,0
03/03/2012,Saturday,B6 44,JFK,457,534,2,0
03/03/2012,Saturday,B6 12,JFK,890,977,0,2
03/03/2012,Saturday,B6 22,JFK,1370,1438,0,0
03/03/2013,Sunday,B6 664,MCO,947,1110,0,0
03/03/2013,Sunday,B6 658,MCO,1045,1206,2,0
03/03/2013,Sunday,B6 44,JFK,450,523,2,0
03/03/2013,Sunday,B6 12,JFK,958,1048,0,2
03/03/2013,Sunday,B6 22,JFK,1371,1437,2,0
03/03/2014,Monday,B6 656,MCO,712,875,1,0
03/03/2014,Monday,B6 116,JFK,558,629,2,0
03/03/2014,Monday,B6 316,JFK,739,811,2,2
03/03/2014,Monday,B6 1816,JFK,1355,1421,2,2
03/03/2015,Tuesday,B6 656,MCO,883,1046,1,0
03/03/2015,Tuesday,B6 116,JFK,577,657,0,0
03/03/2015,Tuesday,B6 316,JFK,790,871,0,0
03/03/2015,Tuesday,B6 1816,JFK,1349,1419,1,0
03/03/2016,Thursday,B6 656,MCO,1160,1323,0,0
03/03/2016,Thursday,B6 116,JFK,555,629,1,0
